OBJECTID,location_id,address_primary,city,state,zip,Challenge_Potential_Served,Uniti_availability
864533,1144667148,12746 N COUNTY ROAD 100 W,BATESVILLE,IN,47006,TRUE,unavailable
864534,1144667099,705 W COUNTY ROAD 1300 N,BATESVILLE,IN,47006,TRUE,unavailable
864535,1144667107,685 W COUNTY ROAD 1300 N,BATESVILLE,IN,47006,TRUE,unavailable
864536,1144667127,741 W COUNTY ROAD 1300 N,BATESVILLE,IN,47006,TRUE,unavailable
864537,1144667135,577 W COUNTY ROAD 1300 N,BATESVILLE,IN,47006,TRUE,unavailable
864547,1144667095,13685 N COUNTY ROAD 50 W,BATESVILLE,IN,47006,TRUE,unavailable
864661,1144667104,13873 N COUNTY ROAD 50 W,BATESVILLE,IN,47006,TRUE,unavailable
864662,1144667129,635 W COUNTY ROAD 1400 N,BATESVILLE,IN,47006,TRUE,unavailable
864663,1144667152,1400 N & 50 E,BATESVILLE,IN,47006,TRUE,
864664,1144667163,727 W COUNTY ROAD 1400 N,BATESVILLE,IN,47006,TRUE,unavailable
864665,1144667166,635 W COUNTY ROAD 1400 N BLDG 2,BATESVILLE,IN,47006,TRUE,unavailable
867418,1292605309,16120 N US HIGHWAY 31,EDINBURGH,IN,46124,TRUE,unavailable
867420,1292606223,15892 N STATE ROAD 79,EDINBURGH,IN,46124,TRUE,unavailable
867421,1292606226,15801 N US 31,COLUMBUS,IN,47201,TRUE,unavailable
867422,1292606236,100 HENRY CONOVER DR,EDINBURGH,IN,46124,TRUE,unavailable
867423,1292606237,16021 N US HIGHWAY 31,EDINBURGH,IN,46124,TRUE,unavailable
867424,1292606239,34 HENRY CONOVER DR,EDINBURGH,IN,46124,TRUE,unavailable
867425,1292606240,104 HENRY CONOVER DR,EDINBURGH,IN,46124,TRUE,unavailable
867426,1292606243,15901 N US HIGHWAY 31,EDINBURGH,IN,46124,TRUE,unavailable
867427,1292606242,16021 N US HIGHWAY 31 BLDG 2,EDINBURGH,IN,46124,TRUE,unavailable
868454,1029591042,9371 S COUNTY RD 60 E,GREENSBURG,IN,47240,TRUE,unavailable
868523,1292606125,15430 N US HIGHWAY 31,EDINBURGH,IN,46124,TRUE,unavailable
868748,1144682893,7372 W MILLHOUSEN RD BLDG 2,OSGOOD,IN,47037,TRUE,unavailable
868749,1144682895,7372 W MILLHOUSEN RD,OSGOOD,IN,47037,TRUE,unavailable
868750,1144682342,6994 W MILLHOUSEN RD BLDG 2,OSGOOD,IN,47037,TRUE,unavailable
868751,1144682347,7111 W MILLHOUSEN RD,OSGOOD,IN,47037,TRUE,unavailable
869675,1292606227,305 W COUNTY LINE RD,EDINBURGH,IN,46124,TRUE,unavailable
869676,1292606228,305 W 1000 N,EDINBURGH,IN,46124,TRUE,unavailable
869677,1292606229,703 1/2 S EISENHOWER DR,EDINBURGH,IN,46124,TRUE,
